Genome	Malaysia_501	Malaysia_502	Malaysia_503	Malaysia_504	Malaysia_505	Malaysia_506	Malaysia_507	Malaysia_508	Malaysia_509	Malaysia_510	Malaysia_511	Malaysia_512	Malaysia_513	Malaysia_514	Malaysia_515	Malaysia_516	Aruba_501	Aruba_502	Aruba_503	Aruba_504	Aruba_505	Aruba_506	Aruba_507	Aruba_508	Aruba_509	Aruba_510	Aruba_511	Aruba_512	Aruba_513	Aruba_514	Aruba_515	Aruba_516	Brazil_501	Brazil_502	Brazil_503	Brazil_504	Brazil_505	Brazil_506	Brazil_507	Brazil_508	Brazil_509	Brazil_510	Brazil_511	Brazil_512	Brazil_513	Brazil_514	Brazil_515	Brazil_516	CaboVerde_501	CaboVerde_502	CaboVerde_503	CaboVerde_504	CaboVerde_505	CaboVerde_506	CaboVerde_507	CaboVerde_508	CaboVerde_509	CaboVerde_510	CaboVerde_511	CaboVerde_512	CaboVerde_513	CaboVerde_514	CaboVerde_515	Denmark_1	Denmark_10	Denmark_11	Denmark_12	Denmark_13	Denmark_14	Denmark_15	Denmark_16	Denmark_2	Denmark_3	Denmark_4	Denmark_5	Denmark_6	Denmark_7	Denmark_8	Denmark_9	Denmark_blank	Spain_501	Spain_502	Spain_503	Spain_504	Spain_505	Spain_506	Spain_507	Spain_508	Spain_509	Spain_510	Spain_511	Spain_512	Spain_513	Spain_514	Spain_515	Spain_516
bin_Denmark.62	0.31458595	0.8579926	0.14337814	0.11724375	0.5270408	0.78400755	0.49389797	0.11605472	0.24311216	0.7310448	0.22853564	0.43334034	0.69991595	0.92523223	0.08196874	2.4250663e-5	0.33336827	0.026569774	0.019670272	0.007898628	0.017686943	0.12524684	0.027869236	0.15622501	0.9140101	0.018583843	0.014304534	0.030533452	0.5347708	0.08568207	0.073877595	0.048430815	0.7220889	0.95417595	0.949168	0.65502423	0.029251523	0.95210344	0.9440358	0.9243383	0.9394599	0.9237167	0.8824063	0.89173126	0.6726526	0.9446283	0.89706004	0.9446835	0.038296647	0.80286413	0.0025060263	0.48432046	0.05401257	0.35207748	0.49471578	0.040095303	0.10408086	0.08953457	0.077217095	0.08583131	0.37808987	0.19563234	0.1615956	0.9539137	0.89813155	0.9849866	0.90603614	0.92523336	0.9566622	0.94478273	0.9408	0.92039293	0.93738365	0.9667117	0.9422547	0.9762217	0.82576495	0.081487454	0.81937957	0	0.85715574	0.53506404	0.93954647	0.5991078	0.91920054	0.90405655	0.9242999	0.928427	0.93963486	0.945023	0.78377026	0.91587335	0.0012088023	0.91794956	0.51175874	0.95133376
bin_Aruba.47	0.26011118	5.87927e-4	1.7449333e-4	1.045744e-4	0.0014579617	2.6751592e-5	0.072778314	0.06006887	7.8613195e-4	0.0010816155	4.243775e-4	8.444991e-4	0.002355964	0.029640155	0	0	0.057928745	0.29994857	0.015087897	0.008742298	0.010263491	0.9817627	0.019875215	0.0063164155	0.7382479	0.12640978	0.00874169	0.011362738	0.6089738	0.011404689	0.3464331	0.015598609	6.1771856e-4	0.0016440068	0.0017418934	0.0012615807	1.4774174e-4	7.350608e-4	4.8031265e-4	0.0017048059	0.0020118412	0.0017114938	1.8908511e-4	0.0013971627	0.0013995946	0.0013558193	0.0016756224	0.0018014765	0.009046902	0.14581805	4.2316152e-4	0.0074065425	0.6741462	0.004964244	0.006518876	0.0056986967	0.03575411	0.016205383	0.26933804	0.0068958304	0.03552915	0.0062860157	0.03641439	0.0017850607	4.7666472e-4	5.4354366e-4	0.0020726402	1.6050955e-4	2.3590038e-4	0.0016519107	1.9759698e-4	0.0015856398	6.2440644e-4	0.00157044	4.2802547e-4	0.002601592	2.8210768e-4	3.6905037e-4	0.0015771278	0	8.0254773e-4	0.0012640127	0.0013029241	2.1644469e-4	0.0017753328	0.0018014765	0.0022550374	5.623914e-4	0.012631007	0.0033038214	3.6783438e-4	1.0518239e-4	0	0.0065267803	2.1036479e-4	0.0013959466
bin_Aruba.25	0.07714031	0.031492773	0.009092115	0.00864233	0.23135191	0.9296148	0.02574688	0.024634898	0.017897425	0.0903725	0.38736904	0.0047097714	0.15622316	0.18747562	0.015059718	1.8647229e-4	0.22543228	0.16093831	0.122301355	0.042549454	0.054549754	0.460103	0.103106454	0.56586903	0.99988157	0.059248757	0.061881393	0.16757202	0.73904157	0.13834238	0.1139982	0.08137876	0.06145412	0.058299754	0.04627841	0.08853274	0.9014325	0.07635282	0.07314706	0.041674353	0.5300071	0.07065832	0.057514712	0.054838028	0.08066077	0.9118353	0.05359977	0.069908515	0.09402021	0.6593846	0.13563584	0.7578611	0.2827204	0.07117124	0.30991352	0.16287205	0.3766334	0.56646319999999994	0.94698656	0.18542247	0.31585175	0.10000347	0.09085801	0.09093485	0.03637531	0.06109586	0.9306661	0.91426533	0.9353666	0.92317784	0.9533844	0.023429437	7.1407633e-4	0.0014164064	0.009018701	0.0019900165	0.0035390581	0.47512698	0.8845741	0	0.95326495	0.93162435	0.105984785	0.30026934	0.94822824000000006	0.41448727	0.4337365	0.47675583	0.17765573	0.39323092	0.3989034	0.5883876	0.0015886852	0.15098824	0.19931245	0.089769036
bin_Brazil.158	0.0062616817	0.7605577	0.014311955	0.022958783	0.89301336	0.15197346	0.018592453	0.009169887	0.079460375	0.27837285	0.2286002	0.044144534	0.004861494	0.96165955	0.028504815	0	0.12608662	0.08516896	0.04394282	0.043897223	0.027436165	0.38425225	0.05042982	0.8464772	0.97260946	0.020346174	0.022423387	0.10847376	0.01414404	0.028825624	0.053783298	0.06966979	0.1866493	0.99343145	0.9973139	0.30213258	0.04365098	0.99968135	0.82162577	0.96249646	0.9911627	0.99864596	0.9802278	0.7984615	0.8607071	0.9912298	0.47848648	0.9684427	0.0670824	0.7026238	0.02010369	0.060533166	0.082210325	0.3907183	0.86394954	0.1712365	0.31697133	0.24964218	0.96112627	0.18884507	0.25847784	0.07597439	0.48784465	0.9603731	0.006819611	0.99013054	0.8731076	0.0010166112	0.93322176	0.9815003	0.2771234	0.98950773	0.29775336	0.9780208	0.98213553	0.6801875	0.40753236	0.31194678	0.97703534	0	0.9766163	0.9737516	0.98230505	0.9736024	0.94909275	0.63103235	0.98759305	0.96772754	0.83171463	0.9819703	0.9063811	0.28334484	0.0028990856	0.82133985	0.9789741	0.84146607
bin_Brazil.65	0.0036908074	0.0030748066	0.0018787074	0.0039010223	0.30077034	0.31197077	0.0020331799	0.07088023	0.113868944	0.1642492	6.5426447e-4	0.060508832	0.0032802979	0.19972591	0.06618322	0	8.252708e-4	1.4691426e-4	7.0858965e-5	3.7791448e-5	1.8234373e-4	0.0010836698	0	0.0028126286	0.01835625	0.0032557333	5.574239e-5	2.1021493e-4	2.673745e-4	5.2908028e-5	2.73988e-4	0	0.0046998393	0.0038528382	0.0037621388	0.006266767	0.0030110336	0.0067207366	0.0061019016	0.0044527776	0.025753455	0.95288396	0.008201689	0.00524687	0.008981138	0.9397784	0.0051561706	0.0071397494	9.117187e-5	6.4198225e-4	1.0723324e-4	0.0012938847	2.0832536e-4	2.0218425e-4	7.00559e-4	1.9415357e-4	2.1399408e-4	2.7540518e-4	4.738103e-4	7.369332e-5	0.0010794182	0.0024937633	2.130493e-4	0.0018787074	0.0015485046	0.0054155146	0.0036208932	0.002575015	0.0015149647	0.0034286291	0.0057315454	0.007927229	1.8706768e-4	0.004526471	6.528473e-4	0.003392255	0.0010175348	0.0028612851	0.031125037	0	0.0026779966	0.0024451066	0.019156486	0.0023194503	0.0059908894	0.0031173222	0.018091239	0.00211018	0.0022788243	0.004466477	0.004654017	0.0016954188	0	0.0016056641	0.003996446	0.0013812775
bin_Malaysia.16	0.008386265	0.016398516	0.0019780924	0.0020388898	7.398847e-4	8.24567e-4	1.9759209e-4	0.0084231775	0.005267675	0.12993363	0	0.0021925122	0.25341076	0.26270193	0.0022446245	0	0.003110447	0.00827824	3.647854e-4	3.647854e-4	4.9398022e-5	0.029126378	6.1340403e-4	9.255344e-4	0.0032412703	6.351175e-5	1.6013645e-4	0.016894124	0.0015525093	4.445822e-4	0.0010900135	0	0.001622535	0.0031473597	0.0038606455	0.23818858	4.1472627e-4	0.003084391	0.2531274	0.003585428	0.0075492123	0.08584453	0.0012734919	0.0030463922	0.03675376	0.12652896	0.03913246	0.10133923	2.7956025e-4	0.0010449581	0	0.0010693858	2.160485e-4	3.371008e-4	0.0020388898	0	9.66247e-5	3.2570126e-4	0	2.4156176e-4	0.001414629	0.0011833812	5.9549045e-4	0.0032363848	0.0017734433	0.035353243	6.514025e-4	0.02571737	0.0014656556	0.18795297	6.698589e-4	0.17749198	0.0029313113	0.12437825	0.0031701587	0.0036619678	0.0020861165	0.007071517	0.6840573	0	0.6441839	0.59226656	0.014360168	0.035539433	0.03455473	0.20453604	0.1732215	0.8758123	0.13035704	0.9717449	0.055033196	0.01567166	1.8184986e-4	0.040765855	0.019004125	0.071734615
bin_Brazil.104	5.724635e-4	0.3039531	4.4832556e-4	0.03188202	0.0979895	0.00359107	6.4390985e-4	0.0019227987	0.028057856	0.12945892	3.9920624e-4	0.0102704065	0.100474045	0.7308269	3.759862e-4	0	3.0096757e-4	0	0	1.3128259e-4	0	5.090549e-4	0	2.1255275e-4	7.671547e-4	0	0	0	0	6.9302914e-4	0	0	0.005549592	0.0046984875	0.0053182845	0.0062729856	0.0034669319	0.0071535613	0.004732425	0.0040036724	0.8848062	0.9570965	0.7038917	0.012367356	0.22952305	0.60998803	0.004722601	0.007294668	0	5.0816184e-4	9.1094036e-5	8.511041e-4	5.179857e-5	4.376086e-5	7.47507e-4	1.3396182e-4	2.5363438e-4	3.0096757e-4	4.4564632e-4	1.2145872e-4	4.0992317e-4	6.072936e-4	0	0.44234997	0.0023595141	0.0027515758	0.050667040000000003	0.0015093032	0.0025211615	0.0037107426	0.12452912	0.0019433395	0.0054888623	0.0032132976	0.0020004965	0.120170005	0.0013119328	0.60161096	0.0037991572	0	0.0013047882	0.0013735553	5.0369644e-4	6.180105e-4	7.162492e-4	6.849915e-4	0.0021487477	0.0014941208	0.0018049123	0.0026783433	6.581991e-4	0.0011154554	0	3.28653e-4	5.822874e-4	5.090549e-4
bin_Malaysia.84	0.001137689	0.5494788	4.5448914e-4	4.3396384e-4	6.054968e-4	4.742814e-4	4.2516727e-5	0.049093623	8.7745726e-4	2.2944371e-4	0	0.0028772096	0.20822567	0.0014572975	0.0045441585	0	4.3323077e-4	0.03237722	0	0.0048124534	0	0.011764672	1.16554475e-4	9.7128726e-4	0	9.969439e-5	0	0.0016566862	2.3970637e-4	0.0018678037	3.4819733e-4	1.7226605e-4	0.0055777547	0.033393223	0.051555928	0.00826877	0.0015921781	0.2190579	0.8109926	0.1252726	0.018449327	0.1496486	0.0023970637	0.08606998	0.02507827	0.3462606	0.34104645	0.5096876	2.199141e-4	0.009654962	0	0.0010988375	1.0995705e-4	5.080016e-4	0.037913192	3.8558274e-4	4.412943e-4	8.202796e-4	8.4447017e-4	0.007240305	0.006872316	4.009767e-4	0.002262183	7.762968e-4	0.0057478216	0.0070577767	3.9071406e-4	0.017536683	0.0013165524	0.0054612	4.1050633e-5	0.17988901	0.0024219872	0.13747416	2.5803255e-4	0.13438438	0.001574585	9.155757e-4	0.033494383	0	0.052148964	0.7817448	0.046779394	0.03167203	0.05610815	0.29201442	0.7698064	0.37691078	0.67387545	0.9592301	0.040506713	0.056559708	6.6707275e-5	0.9760983	0.028799951	0.035792485
bin_Spain.4	0.018150732	0.28560692	0.0063630207	0.01536265	0.9650887	0.017337343	0.009163265	0.024958963	0.021340167	0.83433515	0.0043042987	0.09200305	0.9618731	0.68211836	0.007149507	2.1007367e-5	0.007353315	0.0072597032	0.0021213754	0.0012862405	0.001689066	0.01693857	0.0029915227	0.024444098	0.07059507	0.0051950845	0.0012217442	0.0019002452	0.051081806	0.0026214982	0.0026859944	0.0024611787	0.0568334	0.8880455	0.11990931	0.101284616	0.031135496	0.03820982	0.09777897	0.106334865	0.11061078	0.073563375	0.9724435	0.96500397	0.97459066	0.9420702	0.109974295	0.11388425	0.0017170757	0.0064909076	7.850121e-5	0.008725428	0.004153562	0.0033637583	0.008114371	0.0013536852	0.0027398027	0.0024401713	0.002192137	0.0056642494	0.014637711	0.0017170757	0.0112857465	0.032694094	0.016637465	0.01979373	0.024183901	0.011458965	0.004465355	0.049793724	0.003183906	0.008839678	0.0019735866	0.060711656	0.022278864	0.035733897	0.029046552	0.0036368542	0.05451227	0	0.18242097	0.13280857	0.10472356	0.083188064	0.8860568	0.27803764	0.9487851	0.13159345	0.124282524	0.97909695	0.9560187	0.0820544	5.447173e-4	0.1086829	0.3747338	0.06259863
bin_Brazil.177	0.005953673	0.5524328	0.035881273	0.10047818	0.03919193	0.008200675	0.0027262731	0.004067814	0.0025108356	0.0050783926	0.0019592324	0.003989757	0.78050977	0.25360167	0.00239375	0	0.0035568003	0.0014195979	8.742391e-5	0.0036431835	3.9965217e-4	0.026692394	0.016573077	0.0030603574	0.048541088	3.9965217e-4	0.0015902827	0.0050586183	0.020419728	0.006998076	0.0049602664	6.7077036e-4	0.42067972	0.03594788	0.9558556	0.08947577	0.005368245	0.012109773	0.06977313	0.5624058	0.7336011	0.7750739	0.012517751	0.7494733	0.014330236	0.8062868	0.05505157	0.1290148	0.0014154348	0.0044929646	0	0.0010558519	6.010394e-4	4.5637364e-4	0.0023968723	5.344307e-4	6.2081387e-4	4.9696333e-4	0.0010386794	3.2315624e-4	0.010198936	4.5169023e-4	3.1951358e-4	0.9566804	0.0032435313	0.008680467	0.008377605	0.005305799	0.014714277	0.0059266128	0.0050086617	0.06605033	0.017471774	0.90714854	0.014399967	0.024726396	0.007214034	0.003682212	0.013242641	0	0.027340788	0.60468674	0.019104207	0.011933885	0.031026123	0.06368416	0.033507816	0.13249302	0.89599156	0.9362893	0.025386238	0.01421211	0	0.11897614	0.013668313	0.6778481
