Genome	Malaysia_501	Malaysia_502	Malaysia_503	Malaysia_504	Malaysia_505	Malaysia_506	Malaysia_507	Malaysia_508	Malaysia_509	Malaysia_510	Malaysia_511	Malaysia_512	Malaysia_513	Malaysia_514	Malaysia_515	Malaysia_516	Aruba_501	Aruba_502	Aruba_503	Aruba_504	Aruba_505	Aruba_506	Aruba_507	Aruba_508	Aruba_509	Aruba_510	Aruba_511	Aruba_512	Aruba_513	Aruba_514	Aruba_515	Aruba_516	Brazil_501	Brazil_502	Brazil_503	Brazil_504	Brazil_505	Brazil_506	Brazil_507	Brazil_508	Brazil_509	Brazil_510	Brazil_511	Brazil_512	Brazil_513	Brazil_514	Brazil_515	Brazil_516	CaboVerde_501	CaboVerde_502	CaboVerde_503	CaboVerde_504	CaboVerde_505	CaboVerde_506	CaboVerde_507	CaboVerde_508	CaboVerde_509	CaboVerde_510	CaboVerde_511	CaboVerde_512	CaboVerde_513	CaboVerde_514	CaboVerde_515	Denmark_1	Denmark_10	Denmark_11	Denmark_12	Denmark_13	Denmark_14	Denmark_15	Denmark_16	Denmark_2	Denmark_3	Denmark_4	Denmark_5	Denmark_6	Denmark_7	Denmark_8	Denmark_9	Denmark_blank	Spain_501	Spain_502	Spain_503	Spain_504	Spain_505	Spain_506	Spain_507	Spain_508	Spain_509	Spain_510	Spain_511	Spain_512	Spain_513	Spain_514	Spain_515	Spain_516
bin_Denmark.62	10767	65088	4501	3943	24978	89936	18326	4084	7886	52339	7096	17805	40089	119647	2505	2	11853	819	626	263	499	4073	946	5124	175023	565	515	979	26049	2556	2267	1506	51346	289816	241345	47745	1865	801861	180817	228446	194313	186211	117481	121775	39606	254156	114367	245057	1639	69393	119	28125	1803	15329	24630	1874	3779	3439	2953	3575	18206	8166	6489	1579315	275075	1198810	416807	529104	4965864	385511	418205	305794	2740217	566213	477149	1299615	126381	7054	106371	0	100539	33338	286192	36879	185545	919576	196032	234385	161291	319033	61067	1035947	41	138883	30108	392424
bin_Aruba.47	4760	12	5	4	279	2	1168	968	22	322	8	25	109	507	0	0	1014	5787	259	154	168	84504	347	149	22070	2116	161	191	17125	213	6633	261	23	172	529	34	8	21	32	441	131	586	8	80	102	370	429	1541	181	2933	9	159	20370	96	158	135	634	351	5611	138	747	148	783	259	44	28	158	14	12	392	14	126	79	299	20	964	24	24	113	0	32	34	107	10	47	1037	126	31	252	1128	10	4	0	154	8	33
bin_Aruba.25	10328	1092	274	394	14351	544706	1021	785	473	18340	9940	239	3904	5007	474	8	6405	3812	2957	1067	1310	15838	2787	17561	1003318	1503	1575	4366	34682	3453	2999	2021	2537	2848	2256	3994	3148927	28087	3450	1877	18423	3546	10904	2443	3637	294436	2313	3407	2782	27676	6053	46079	8144	1993	10000	4865	12113	19727	732128	5292	10564	3350	2572	17105	12655	13756	1416234	5440086	466657	285839	475684	2084	675	1075	653	1376	341	138038	172110	0	695271	137587	4385	25407	166283	20404	16881	19589	7796	19206	33372	27063	49	6650	101382	3868
bin_Brazil.158	250	27012	332	563	56876	4284	371	353	1482	7116	4828	878	227	112483	569	0	2923	1698	947	888	567	10441	1142	40248	212217	466	538	2440	331	645	1198	1451	6477	357200	849931	9759	1960	940099	42601	123574	194515	380392	197006	43611	50662	266790	17070	114475	2075	31255	500	1803	2110	12054	54369	5037	8509	6894	329015	5207	8008	2577	16347	152337	845	2419398	221974	145	146652	462938	8046	413292	54270	323102	486080	43340	19591	14085	394246	0	468710	219600	283280	152916	106287	33920	285945	350450	47209	391166	63841	11213	61	44256	396966	44782
bin_Brazil.65	150	133	85	165	46955	74405	86	1919	3432	7759	23	1759	173	11581	1780	0	19	3	1	2	3	25	0	78	1142	76	2	6	22	2	8	0	235	258	298	328	159	1213	682	285	6811	106296	1580	349	587	116224	265	756	6	35	6	99	6	9	53	8	9	10	107	4	118	70	6	989	559	2303	1623	1847	594	3211	2447	862	417	1589	64	588	550	5221	8083	0	252	182	2864	226	847	206	1502	158	133	357	1370	205	0	100	1839	77
bin_Malaysia.16	263	485	40	56	29	33	7	169	92	3091	0	52	5762	5915	48	0	70	150	8	7	2	569	14	17	100	2	4	358	37	10	20	0	68	173	278	6226	20	116	6742	161	226	2194	50	160	812	3625	1169	4794	8	37	0	48	5	10	95	0	4	10	0	6	42	45	20	403	270	1267	46	792	134	8968	40	7044	711	6122	233	383	252	327	45975	0	29370	24120	496	1015	1185	9371	4390	52432	3241	104048	1491	603	8	1334	673	2000
bin_Brazil.104	11	3897	11	391	1274	53	13	40	301	1715	7	130	1104	15279	8	0	4	0	0	1	0	6	0	4	15	0	0	0	0	10	0	0	144	116	2097	218	87	219	130	105	27707	45102	21400	215	3929	15172	118	206	0	11	2	28	2	2	19	1	5	5	16	4	15	30	0	12297	272	445	2160	150	1132	2307	2061	183	405	315	86	3100	69	17760	313	0	57	40	14	33	42	54	84	53	360	142	27	24	0	9	54	11
bin_Malaysia.84	19	11700	14	8	12	11	2	604	16	8	0	64	3379	38	62	0	6	417	0	71	0	167	2	13	0	1	0	20	6	27	6	4	170	799	5163	191	55	4120	40757	2945	383	2790	68	1554	484	9732	10467	15356	2	238	0	31	4	9	700	11	12	19	25	127	173	13	52	49	228	147	41	306	37	162	6	5274	277	5076	11	3773	420	37	935	0	1159	42431	1515	706	1286	10169	34124	9347	23678	113230	877	2280	2	97394	632	898
bin_Spain.4	1739	10289	324	740	161016	1876	596	1333	806	64074	251	3817	157504	35001	352	2	437	220	62	45	60	648	110	1033	11910	298	39	83	4699	98	94	69	3863	122330	33642	11756	2048	2572	12238	29950	20057	6953	550307	194163	850087	411373	20280	21954	99	1221	4	1102	384	326	1298	92	185	177	475	325	3421	113	901	6251	9454	3774	5764	5496	3125	4005	327	2554	594	14686	3080	7447	15503	564	9218	0	22150	19937	7990	5098	101035	63471	314126	12522	7249	915499	153411	4558	16	8327	19204	4748
bin_Brazil.177	202	15761	738	2334	1124	416	79	141	71	313	52	183	33234	6561	79	0	141	31	4	66	8	571	289	213	1436	9	42	110	520	140	93	20	15818	1533	87697	3554	232	800	3152	22997	30999	39746	545	35264	729	53629	2481	8260	39	195	0	66	11	17	93	12	15	16	27	11	485	28	16	173474	476	870	804	630	580	858	242	3223	4594	145531	877	3741	659	450	1175	0	1236	27992	809	418	1592	4360	1967	6915	57914	79948	1265	505	0	4982	601	27415
