sample,location,origin,sex,bites,hisses,retreats,vocalization,acceptance,sedating,healthy,dry_skin,stiff,agile,clear_eyes,sick_injured,coat_condition,age,comment
Aruba_501,Aruba,Domestic,Male,NO,NO,NO,YES,NA,NO,YES,NO,NO,NO,YES,NO,Healthy,Unknown,59
Aruba_502,Aruba,Domestic,Male,NO,NO,NO,YES,NA,NO,YES,NO,NO,NO,NO,NO,Unknown,1.5 years,
Aruba_503,Aruba,Domestic,Female,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,Unknown,1 year,wounded
Aruba_504,Aruba,Feral,Female,NO,NO,YES,YES,NA,NO,NO,NO,NO,NO,NO,NO,Matted,Unknown,Fleas
Aruba_505,Aruba,Domestic,Male,NO,NO,NO,NA,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,Unknown,
Aruba_506,Aruba,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,6 months,
Aruba_507,Aruba,Feral,Female,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,Unknown,Unknown,
Aruba_508,Aruba,Domestic,Female,NO,NO,YES,NA,YES,NO,YES,NO,NO,NO,YES,NO,Unknown,Unknown,
Aruba_509,Aruba,Feral,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,1 year,
Aruba_510,Aruba,Feral,Male,NO,NO,YES,NA,NA,NO,YES,NO,NO,NO,NO,NO,Unknown,1 year,
Aruba_511,Aruba,Feral,Male,NO,NO,YES,NA,YES,NO,YES,NO,NO,NO,YES,NO,Unknown,Unknown,
Aruba_512,Aruba,Feral,Male,NO,YES,NO,NA,NA,NO,YES,NO,NO,NO,NO,NO,Healthy,Unknown,
Aruba_513,Aruba,Feral,Female,NO,NO,YES,NA,NA,NO,YES,NO,NO,NO,YES,NO,Unknown,Unknown,Pregnant/nursing
Aruba_514,Aruba,Domestic,Male,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,Unknown,
Aruba_515,Aruba,Domestic,Female,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,Unknown,
Aruba_516,Aruba,Domestic,Male,NO,NO,NO,NA,YES,NO,YES,NO,NO,NO,NO,NO,Healthy,Unknown,
Brazil_501,Brazil,Feral,Female,YES,NO,YES,NA,NO,YES,YES,NO,NO,NO,YES,NO,Unknown,Unknown,
Brazil_502,Brazil,Feral,Female,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,Bad,Unknown,
Brazil_503,Brazil,Feral,Male,YES,YES,NO,NA,NA,NO,NO,NO,NO,YES,YES,NO,Unknown,Unknown,
Brazil_504,Brazil,Feral,Female,NO,NO,YES,NA,NA,NO,NO,NO,YES,NO,NO,NO,Unknown,Unknown,
Brazil_505,Brazil,Feral,Male,YES,NO,NO,NA,YES,NO,NO,NO,NO,YES,NO,NO,Healthy,Adult,
Brazil_506,Brazil,Feral,Male,YES,YES,NO,NA,NA,NO,NO,NO,NO,NO,NO,YES,Bad,Unknown,
Brazil_507,Brazil,Feral,Female,NO,NO,YES,NA,NA,NO,NO,NO,NO,NO,YES,NO,Unknown,Adult,
Brazil_508,Brazil,Feral,Male,YES,NO,NO,NA,NA,NO,NO,NO,NO,YES,NO,NO,Unknown,Adult,
Brazil_509,Brazil,Domestic,Female,NO,NO,NO,NA,NA,NO,YES,NO,NO,YES,YES,NO,Healthy,Unknown,
Brazil_510,Brazil,Domestic,Female,YES,NO,NO,NA,NA,NO,YES,NO,NO,YES,YES,NO,Healthy,5 years,
Brazil_511,Brazil,Domestic,Male,NO,NO,YES,NA,NA,NO,YES,NO,NO,NO,YES,NO,Unknown,1 year,seguila neurologica
Brazil_512,Brazil,Domestic,Male,NO,NO,YES,NA,NA,NO,YES,NO,NO,YES,YES,NO,Healthy,3 years,paraplogico bipede
Brazil_513,Brazil,Domestic,Male,NO,NO,NO,NA,NA,NO,YES,NO,NO,NO,YES,NO,Healthy,7 years,FeLV+
Brazil_514,Brazil,Domestic,Male,NO,NO,NO,NA,NA,NO,YES,NO,NO,NO,YES,NO,Healthy,8 years,seguila neurologica
Brazil_515,Brazil,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,6 years,
